train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,train_report,val_report
0.6974765904460635,0.682427129284902,0.5110714285714286,0.5585714285714286,0.4784761904761905,0.6199261992619927,0.510361641609102,0.5502183406113537,0.4503406238795267,0.7098591549295775,[],[]
0.6870557674339839,0.6661238501017744,0.5476785714285715,0.6028571428571429,0.5303170776933062,0.6138888888888889,0.5491551459293394,0.6054794520547945,0.512728576550735,0.6225352112676056,[],[]
0.6756558612414769,0.6504574282602831,0.5751785714285714,0.6257142857142857,0.5635663181067694,0.6459459459459459,0.5770097670924117,0.6207792207792208,0.5507350304768734,0.6732394366197183,[],[]
0.6631324430022921,0.6283060183579271,0.6053571428571428,0.6657142857142857,0.6030890804597702,0.6863270777479893,0.604174163368118,0.6547314578005116,0.6020078881319469,0.7211267605633803,[],[]
0.6369073714954513,0.601976175877181,0.6464285714285715,0.6942857142857143,0.6474358974358975,0.7242268041237113,0.6430845419172267,0.667458432304038,0.651846539978487,0.7915492957746478,[],[]
0.6136319979173797,0.5810761279003187,0.6678571428571428,0.6814285714285714,0.6731107205623902,0.6686478454680534,0.6601172009651844,0.7075471698113207,0.6866260308354248,0.6338028169014085,[],[]
0.5913085293344089,0.5605325207791545,0.6907142857142857,0.7071428571428572,0.6909350463954318,0.7263017356475301,0.6877442273534636,0.6903553299492385,0.6941556113302259,0.7661971830985915,[],[]
0.5610625243612698,0.5449600514363159,0.7183928571428572,0.72,0.7214273096626038,0.7277777777777777,0.7110027855153204,0.7178082191780822,0.7321620652563643,0.7380281690140845,[],[]
0.5440528294869832,0.5358831293203614,0.7307142857142858,0.7257142857142858,0.7339449541284404,0.718475073313783,0.7224730809308788,0.7492354740061162,0.7457870204374327,0.6901408450704225,[],[]
0.5278683531497206,0.5241818370466883,0.7444642857142857,0.7285714285714285,0.7474854420328216,0.7301136363636364,0.7359277275886031,0.7363896848137536,0.7594119756185013,0.723943661971831,[],[]
0.5083507803508214,0.5225792256268588,0.7573214285714286,0.7328571428571429,0.7590852685694026,0.727802037845706,0.7507012622720898,0.7530120481927711,0.767658659017569,0.704225352112676,[],[]
0.5024239390024117,0.5143243724649603,0.7621428571428571,0.75,0.7651622002820875,0.7599451303155007,0.7526881720430108,0.7406417112299465,0.7780566511294371,0.780281690140845,[],[]
0.4873627971751349,0.5160881976851008,0.7728571428571429,0.7485714285714286,0.7749469214437368,0.7419354838709677,0.7649318896262661,0.7737003058103975,0.7852276801721046,0.7126760563380282,[],[]
0.466044165076954,0.5125296117568557,0.7883928571428571,0.7514285714285714,0.789930863322106,0.7433628318584071,0.7812061711079944,0.7801857585139319,0.7988526353531732,0.7098591549295775,[],[]
0.46188708551228047,0.5071786459196698,0.7914285714285715,0.7557142857142857,0.7931278781438187,0.7532467532467533,0.783689184459223,0.772189349112426,0.8027967013266404,0.7352112676056338,[],[]
0.45430063018841405,0.504467012360692,0.7926785714285715,0.76,0.793011231948654,0.7543859649122807,0.7886524822695036,0.78419452887538,0.7974184295446397,0.7267605633802817,[],[]
0.43970385795193057,0.49990639073604887,0.8028571428571428,0.7628571428571429,0.8019375672766416,0.771978021978022,0.8025134649910234,0.7533512064343163,0.8013624955181069,0.7915492957746478,[],[]
0.43655731153275285,0.49917842117561534,0.8058928571428572,0.7642857142857142,0.8060660124888492,0.7612156295224313,0.8022017045454546,0.7827380952380952,0.809967730369308,0.7408450704225352,[],[]
0.4287154229411057,0.4949684270911596,0.8076785714285715,0.7742857142857142,0.8066080086191417,0.7742857142857142,0.8079136690647482,0.7855072463768116,0.8053065614915741,0.7633802816901408,[],[]
0.4142655642649957,0.505464658733796,0.8208928571428571,0.7671428571428571,0.8213713268032057,0.7563527653213752,0.8159943382873319,0.8057324840764332,0.8268196486195769,0.7126760563380282,[],[]
0.4085665073990822,0.5093054530972784,0.8230357142857143,0.7728571428571429,0.8227508495796816,0.7609022556390977,0.820842255531763,0.8161290322580645,0.8246683399067766,0.7126760563380282,[],[]
0.40676739989646843,0.4951050329360772,0.8260714285714286,0.7771428571428571,0.8244412400865176,0.780281690140845,0.8289235230155854,0.780281690140845,0.8200071710290426,0.780281690140845,[],[]
0.392622921988368,0.5357277168130333,0.8371428571428572,0.7471428571428571,0.8367931281317108,0.7194928684627575,0.8352983208288675,0.822463768115942,0.8382932950878451,0.6394366197183099,[],[]
0.38824788845011166,0.5191465559923514,0.8375,0.7757142857142857,0.837847469707769,0.7595712098009189,0.832801983705278,0.8322147651006712,0.842954463965579,0.6985915492957746,[],[]
0.3798264463778053,0.4986975225619972,0.8433928571428572,0.7871428571428571,0.8432529043789098,0.7862266857962698,0.8406985032074127,0.8011695906432749,0.8458228755826461,0.7718309859154929,[],[]
0.3786574596326266,0.502012862146578,0.8408928571428571,0.7928571428571428,0.8401793721973094,0.7901591895803184,0.8406317300789663,0.8125,0.8397275008963786,0.7690140845070422,[],[]
0.36579935701830046,0.5356893257068639,0.85,0.7671428571428571,0.8496778811739442,0.7465007776049767,0.8481600571632726,0.8333333333333334,0.8512011473646468,0.676056338028169,[],[]
0.35702877359464763,0.536001428369094,0.8533928571428572,0.7671428571428571,0.8525238009700018,0.7472868217054264,0.8542116630669546,0.8310344827586207,0.8508425959125134,0.6788732394366197,[],[]
0.3515437887023602,0.5338365814267573,0.8548214285714286,0.7957142857142857,0.8536453645364537,0.7924528301886793,0.8571945046999276,0.8173652694610778,0.8501254930082467,0.7690140845070422,[],[]
