train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,train_report,val_report
0.5607971067667007,0.4651878880262375,0.7059926498162454,0.826,0.6568627450980392,0.7897535041082648,0.6339265600360442,0.7986314760508308,0.681520949382417,0.7810707456978967,[],[]
0.40478615439981225,0.37910810112953186,0.8424460611515288,0.8624,0.8038104725733143,0.8245792962774094,0.8272459310521594,0.8836065573770492,0.7816662630176798,0.7729445506692161,[],[]
0.3589761182744056,0.34840755726099015,0.8797469936748419,0.8656,0.8505282784338098,0.8435754189944135,0.8736593462717058,0.822141560798548,0.828590457737951,0.8661567877629063,[],[]
0.34218919520787894,0.3370057622313499,0.8988474711867797,0.874,0.8750154454466823,0.8401826484018264,0.8932265388496469,0.8951351351351351,0.8575320900944539,0.7915869980879541,[],[]
0.3231110939191654,0.3348091663837433,0.912772819320483,0.876,0.8928472712754523,0.8508180943214629,0.9059520099719539,0.8565891472868217,0.8801162509082102,0.8451242829827916,[],[]
0.2973881636934355,0.3424661018908024,0.9243981099527488,0.8786,0.9075285915234542,0.855096681785629,0.9167799332756703,0.8540772532188842,0.8984620973601356,0.8561185468451242,[],[]
0.27564382103015667,0.3827055081605911,0.9354983874596865,0.876,0.9211491442542787,0.8432760364004045,0.9300172796840286,0.8948497854077253,0.9124485347541778,0.7973231357552581,[],[]
0.2573149039173499,0.3746264251291752,0.9423485587139678,0.8802,0.929712265301146,0.8532222494486645,0.9361036091333169,0.8753142282554047,0.9234076047469121,0.8322179732313576,[],[]
0.24088584434431978,0.39747028056234124,0.9485987149678742,0.8798,0.9375759047850376,0.8555635664503725,0.9403166869671132,0.860318994683422,0.9348510535238557,0.8508604206500956,[],[]
0.22483780898441327,0.45610031905174253,0.9546238655966399,0.8738,0.9449883308580608,0.8522594240224771,0.9461066941797658,0.8352455254703993,0.943872608379753,0.869980879541109,[],[]
